City,Date,Card Type,Exp Type,Gender,Amount
"Ahmedabad, India",10-Jun-14,Platinum,Bills,F,804560
"Ahmedabad, India",17-Apr-15,Gold,Bills,F,996291
"Ahmedabad, India",9-Nov-13,Platinum,Bills,F,477553
"Delhi, India",2-Jan-15,Gold,Bills,F,216028
"Greater Mumbai, India",10-Mar-15,Signature,Bills,F,275427
"Delhi, India",22-Dec-13,Silver,Bills,F,722048
"Delhi, India",14-Feb-15,Silver,Bills,F,292365
"Ahmedabad, India",30-Jan-15,Silver,Bills,F,400393
"Greater Mumbai, India",1-Apr-14,Platinum,Bills,F,219720
"Delhi, India",15-Feb-15,Signature,Bills,F,981404
"Bengaluru, India",24-Nov-14,Signature,Bills,F,639670
"Bengaluru, India",7-Aug-14,Gold,Bills,F,814333
"Ahmedabad, India",17-Oct-13,Gold,Bills,F,569582
"Ahmedabad, India",25-May-14,Gold,Bills,F,954111
"Ahmedabad, India",16-May-14,Gold,Bills,F,635267
"Delhi, India",11-Oct-13,Gold,Bills,F,393651
"Ahmedabad, India",2-Jun-14,Platinum,Bills,F,572306
"Ahmedabad, India",6-Aug-14,Silver,Bills,F,407647
"Greater Mumbai, India",26-Jan-15,Gold,Bills,F,734396
"Delhi, India",2-Mar-15,Platinum,Bills,F,224414
"Ahmedabad, India",10-Sep-14,Signature,Bills,F,203194
"Greater Mumbai, India",22-Jan-15,Gold,Bills,F,250410
"Delhi, India",4-Apr-15,Silver,Bills,F,830697
"Greater Mumbai, India",16-May-14,Platinum,Bills,F,790800
"Greater Mumbai, India",22-Feb-14,Silver,Bills,F,638570
"Greater Mumbai, India",13-Aug-14,Silver,Bills,F,380409
"Greater Mumbai, India",1-Apr-14,Gold,Bills,F,601631
"Ahmedabad, India",8-Jan-14,Gold,Bills,F,690534
"Ahmedabad, India",5-Mar-15,Silver,Bills,F,423661
"Greater Mumbai, India",8-Dec-14,Silver,Bills,F,936294
"Bengaluru, India",29-Nov-14,Platinum,Bills,F,537050
"Delhi, India",8-Mar-15,Silver,Bills,F,899343
"Greater Mumbai, India",25-Nov-13,Platinum,Bills,F,834691
"Ahmedabad, India",13-Apr-15,Silver,Bills,F,240216
"Greater Mumbai, India",15-Apr-14,Signature,Bills,F,424370
"Delhi, India",13-Feb-15,Silver,Bills,F,593991
"Greater Mumbai, India",2-Oct-14,Signature,Bills,F,768467
"Delhi, India",7-Feb-15,Gold,Bills,F,781959
"Bengaluru, India",27-Dec-14,Platinum,Bills,F,553907
"Bengaluru, India",4-Aug-14,Platinum,Bills,F,308622
"Greater Mumbai, India",5-May-15,Signature,Bills,F,912334
"Delhi, India",28-Jan-15,Silver,Bills,F,586474
"Delhi, India",6-Apr-14,Gold,Bills,F,521237
"Delhi, India",30-Oct-13,Signature,Bills,F,446266
"Greater Mumbai, India",30-Sep-14,Platinum,Bills,F,511168
"Bengaluru, India",28-Dec-13,Signature,Bills,F,608438
"Delhi, India",18-Oct-14,Gold,Bills,F,973519
"Delhi, India",28-Nov-14,Platinum,Bills,F,688577
"Bengaluru, India",12-May-14,Silver,Bills,F,686619
"Greater Mumbai, India",6-Nov-14,Signature,Bills,F,255982
"Greater Mumbai, India",2-Mar-14,Signature,Bills,F,464656
"Delhi, India",19-Apr-15,Signature,Bills,F,212319
"Greater Mumbai, India",18-Apr-15,Platinum,Bills,F,307563
"Delhi, India",15-Apr-15,Silver,Bills,F,407564
"Bengaluru, India",12-Oct-14,Signature,Bills,F,331349
"Delhi, India",14-Apr-15,Silver,Bills,F,391325
"Ahmedabad, India",7-Oct-14,Silver,Bills,F,530244
"Greater Mumbai, India",16-Apr-14,Signature,Bills,F,668736
"Bengaluru, India",3-Dec-14,Gold,Bills,F,517448
"Ahmedabad, India",3-Aug-14,Platinum,Bills,F,788531
"Ahmedabad, India",17-Mar-14,Gold,Bills,F,474729
"Bengaluru, India",16-Jan-15,Platinum,Bills,F,590841
"Greater Mumbai, India",5-Jan-14,Platinum,Bills,F,608427
"Delhi, India",2-May-15,Silver,Bills,F,719835
"Delhi, India",30-Dec-13,Signature,Bills,F,375139
"Bengaluru, India",19-May-14,Platinum,Bills,F,229589
"Bengaluru, India",5-Jul-14,Signature,Bills,F,376453
"Delhi, India",10-Oct-13,Signature,Bills,F,360009
"Ahmedabad, India",3-Aug-14,Signature,Bills,F,770346
"Greater Mumbai, India",23-May-15,Signature,Bills,F,489043
"Bengaluru, India",11-Nov-14,Platinum,Bills,F,503037
"Greater Mumbai, India",11-Jan-14,Platinum,Bills,F,731261
"Ahmedabad, India",14-Feb-14,Signature,Bills,F,262755
"Greater Mumbai, India",16-Jul-14,Gold,Bills,F,825475
"Greater Mumbai, India",24-Feb-14,Platinum,Bills,F,922630
"Delhi, India",25-Sep-14,Gold,Bills,F,752172
"Ahmedabad, India",11-Jun-14,Gold,Bills,F,418009
"Delhi, India",7-Jun-14,Signature,Bills,F,994537
"Greater Mumbai, India",2-Aug-14,Silver,Bills,F,922206
"Greater Mumbai, India",21-May-14,Signature,Bills,F,389097
"Bengaluru, India",4-Apr-15,Signature,Bills,F,880778
"Greater Mumbai, India",3-Mar-15,Gold,Bills,F,327971
"Bengaluru, India",2-Mar-14,Signature,Bills,F,689201
"Bengaluru, India",17-May-15,Silver,Bills,F,792440
"Bengaluru, India",17-Mar-15,Signature,Bills,F,602222
"Ahmedabad, India",3-Sep-14,Platinum,Bills,F,502399
"Ahmedabad, India",17-Mar-14,Silver,Bills,F,272804
"Bengaluru, India",6-Jun-14,Platinum,Bills,F,613280
"Delhi, India",17-Oct-14,Signature,Bills,F,876491
"Bengaluru, India",25-Feb-14,Silver,Bills,F,820217
"Greater Mumbai, India",6-Sep-14,Signature,Bills,F,994184
"Ahmedabad, India",7-Dec-13,Platinum,Bills,F,515263
"Ahmedabad, India",28-Aug-14,Signature,Bills,F,338527
"Ahmedabad, India",16-Jun-14,Silver,Bills,F,934683
"Ahmedabad, India",7-Jul-14,Signature,Bills,F,454570
"Greater Mumbai, India",28-Jan-15,Gold,Bills,F,654519
"Ahmedabad, India",12-Jun-14,Gold,Bills,F,958047
"Bengaluru, India",3-Nov-13,Silver,Bills,F,465281
"Ahmedabad, India",31-Dec-13,Signature,Bills,F,653161
"Ahmedabad, India",14-Apr-14,Gold,Bills,F,307350
"Greater Mumbai, India",27-Aug-14,Silver,Bills,F,41002
"Bengaluru, India",3-Jan-14,Silver,Bills,F,34743
"Bengaluru, India",26-Sep-14,Signature,Bills,F,195589
"Bengaluru, India",10-Mar-14,Signature,Bills,F,204735
"Ahmedabad, India",14-May-14,Signature,Bills,F,118112
"Greater Mumbai, India",12-Dec-13,Platinum,Bills,F,61572
"Delhi, India",25-Feb-15,Gold,Bills,F,274938
"Greater Mumbai, India",21-Feb-14,Signature,Bills,F,43854
"Delhi, India",27-Apr-14,Gold,Bills,F,8798
"Greater Mumbai, India",8-May-15,Gold,Bills,F,192241
"Bengaluru, India",10-Apr-14,Silver,Bills,F,128164
"Delhi, India",28-Apr-14,Signature,Bills,F,249061
"Greater Mumbai, India",29-Jan-14,Gold,Bills,F,275283
"Greater Mumbai, India",3-Jan-14,Platinum,Bills,F,172194
"Ahmedabad, India",13-May-15,Gold,Bills,F,13162
"Bengaluru, India",5-Feb-15,Platinum,Bills,F,3427
"Bengaluru, India",7-Jan-15,Gold,Bills,F,171374
"Delhi, India",19-Feb-15,Signature,Bills,F,286251
"Ahmedabad, India",19-Oct-14,Platinum,Bills,F,123417
"Delhi, India",3-Dec-13,Silver,Bills,F,81088
"Ahmedabad, India",26-Oct-14,Signature,Bills,F,64113
"Bengaluru, India",27-Mar-14,Platinum,Bills,F,54374
"Ahmedabad, India",18-Mar-15,Signature,Bills,F,175515
"Delhi, India",25-Nov-13,Gold,Bills,F,78773
"Bengaluru, India",25-Jun-14,Signature,Bills,F,143515
"Delhi, India",22-Nov-14,Silver,Bills,F,263613
"Greater Mumbai, India",22-Apr-15,Platinum,Bills,F,265434
"Delhi, India",3-Jun-14,Signature,Bills,F,87839
"Delhi, India",16-Jun-14,Signature,Bills,F,60905
"Delhi, India",9-Apr-15,Platinum,Bills,F,199726
"Delhi, India",20-Jan-15,Silver,Bills,F,267896
"Ahmedabad, India",31-Dec-13,Gold,Bills,F,198937
"Greater Mumbai, India",2-Oct-14,Gold,Bills,F,90745
"Greater Mumbai, India",24-Jul-14,Silver,Bills,F,86676
"Greater Mumbai, India",8-May-15,Platinum,Bills,F,163574
"Greater Mumbai, India",27-Apr-15,Signature,Bills,F,2138
"Bengaluru, India",11-Jun-14,Silver,Bills,F,253749
"Delhi, India",6-Jun-14,Platinum,Bills,F,60187
"Bengaluru, India",3-Mar-15,Platinum,Bills,F,15566
"Greater Mumbai, India",11-Jul-14,Signature,Bills,F,242144
"Delhi, India",17-Mar-14,Platinum,Bills,F,114049
"Bengaluru, India",17-Mar-14,Gold,Bills,F,100992
"Delhi, India",3-Mar-14,Silver,Bills,F,173017
"Greater Mumbai, India",7-Jun-14,Gold,Bills,F,279567
"Delhi, India",28-Dec-13,Signature,Bills,F,25016
"Delhi, India",11-Nov-13,Silver,Bills,F,157982
"Bengaluru, India",17-May-14,Signature,Bills,F,240387
"Delhi, India",31-Aug-14,Platinum,Bills,F,134030
"Bengaluru, India",26-Jan-15,Gold,Bills,F,108651
"Delhi, India",17-Jan-14,Gold,Bills,F,138617
"Bengaluru, India",27-Jan-14,Signature,Bills,F,98963
"Delhi, India",24-Dec-13,Silver,Bills,F,25486
"Delhi, India",3-Mar-15,Gold,Bills,F,231140
"Ahmedabad, India",22-Oct-13,Gold,Bills,F,20032
"Greater Mumbai, India",14-Jan-15,Gold,Bills,F,293938
"Delhi, India",11-Jan-14,Silver,Bills,F,88175
"Ahmedabad, India",7-Feb-15,Platinum,Bills,F,105297
"Delhi, India",8-Oct-13,Platinum,Bills,F,129169
"Greater Mumbai, India",14-Aug-14,Signature,Bills,F,172386
"Greater Mumbai, India",9-May-15,Platinum,Bills,F,46369
"Greater Mumbai, India",2-Apr-14,Silver,Bills,F,158636
"Delhi, India",26-Nov-14,Signature,Bills,F,87219
"Delhi, India",16-Nov-14,Gold,Bills,F,183445
"Bengaluru, India",27-Jun-14,Silver,Bills,F,147977
"Ahmedabad, India",19-Nov-14,Platinum,Bills,F,243279
"Bengaluru, India",4-Apr-14,Platinum,Bills,F,243950
"Delhi, India",14-Apr-15,Silver,Bills,F,32548
"Delhi, India",9-Dec-13,Platinum,Bills,F,118126
"Greater Mumbai, India",30-Nov-13,Platinum,Bills,F,13325
"Greater Mumbai, India",16-Feb-14,Gold,Bills,F,295055
"Greater Mumbai, India",12-Jan-15,Platinum,Bills,F,64764
"Bengaluru, India",3-Feb-14,Platinum,Bills,F,174520
"Delhi, India",5-Nov-13,Signature,Bills,F,72763
"Greater Mumbai, India",27-Sep-14,Signature,Bills,F,269809
"Delhi, India",29-Jun-14,Silver,Bills,F,81145
"Ahmedabad, India",13-Jul-14,Silver,Bills,F,25948
"Greater Mumbai, India",23-Jan-15,Silver,Bills,F,120188
"Greater Mumbai, India",5-Dec-14,Signature,Bills,F,8259
"Delhi, India",15-Apr-14,Signature,Bills,F,285830
"Bengaluru, India",27-Apr-15,Gold,Bills,F,67039
"Ahmedabad, India",25-Jul-14,Gold,Bills,F,14370
"Ahmedabad, India",10-Oct-14,Platinum,Bills,F,54304
"Greater Mumbai, India",18-Oct-13,Gold,Bills,F,188856
"Ahmedabad, India",18-Jan-14,Gold,Bills,F,44635
"Greater Mumbai, India",22-Nov-13,Platinum,Bills,F,227273
"Delhi, India",26-Mar-14,Gold,Bills,F,234200
"Delhi, India",12-Dec-14,Signature,Bills,F,79053
"Greater Mumbai, India",1-Mar-15,Silver,Bills,F,49711
"Greater Mumbai, India",29-Oct-14,Signature,Bills,F,203463
"Bengaluru, India",29-Jul-14,Signature,Bills,F,196985
"Greater Mumbai, India",18-Apr-15,Gold,Bills,F,246457
"Delhi, India",5-Nov-13,Platinum,Bills,F,88344
